,Base Infectivity,Circumcision Reduced Acquire,Infmrl Condoms Max,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Dur Het,Male To Female Old,Male To Female Young,Max Infmrl F LOW,Max Infmrl F MED,Max Infmrl M LOW,Max Infmrl M MED,Max Mrtl F ME,Max Mrtl M ME,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Pr Ex Infmrl Fem LOW,Pr Ex Infmrl Fem MED,Pr Ex Infmrl Male LOW,Pr Ex Infmrl Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,Risk Assortivity,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: LOW Risk,Trns Condom Max,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,iteration_number,likelihood,run_number,sim_id
71,0.00275521111038353,0.6023537178323998,0.42510896775868273,0.0023255984564127716,1993.1851732167088,3.1049907183182355,0.80563697654902,1.0,5.175758321696408,1.7588999472089366,0.9185918784793723,1.7757239936591156,1.1146039999384667,1.0125155073749055,1.08468905475152,1.1051668318483476,2.877034108660853,1.6060935150203526,2.918557126395115,0.05796326437899273,2000.2263850190834,1.1990890045945588,0.0009840688911267827,0.07292203407242609,0.36209397063776333,0.4710693704496492,0.4404208578586317,0.23463272362170162,0.7631788680221047,0.37420952244925076,0.8,0.6341240613102747,1989.530418793815,0.152839052285551,14.0,0.07934461406761804,21.0,0.8182855753201445,0.27776989515965544,2000.0,1.9504059664143574,0.0004253795026987678,13,88.1239986281333,6239,Simulation_DYDVYIU9
72,0.002546023496165776,0.5669188514183054,0.46137806159643335,0.002852668206774922,1992.690367126216,3.334134333277374,0.8125742376375495,1.0680455812259178,5.215236330095854,1.9246948261617298,0.936674549722594,1.7592742647005408,1.1076151816682054,1.201362460813354,1.0484580752595947,1.3053047649820912,2.8090466270623358,1.7537516064833962,3.142082260377992,0.05589732778552446,2001.6007865852068,1.0,0.0009456984612976238,0.0063656112385574865,0.33820524174218924,0.48371365928164073,0.5134189665632028,0.20615582440500518,0.7715922585856164,0.3911941118276694,0.8,0.6449759856300575,1989.9320055450116,0.1,14.0,0.09526967549853868,20.42464205463286,0.8074263542054343,0.42706534883978564,1999.3100866406703,2.3272564832570137,0.0003320890220852913,15,88.12226615666108,22365,Simulation_GXJ5W5FC
73,0.0028988320712638608,0.5677386019507916,0.3939243117011775,0.0024488529860312003,1992.819336523716,3.256315208098274,0.7239385931146325,1.0997632677434355,5.515645845310045,1.7678102232906283,0.75,1.7031026812038357,1.0585643179064792,1.1701297695667248,1.024767044417045,1.237333126954561,2.76032528053062,1.6893703345487496,3.17627403056886,0.10628961417657248,1999.9112122186896,1.3165497926265675,0.0009331029199869111,0.09548137205982944,0.3876485392414834,0.4359627419606524,0.41202328242832303,0.223570506021187,0.7844370361331872,0.3570274103026529,0.7452458453288131,0.695502185641121,1990.0,0.10712177750791982,14.473354335968475,0.07937599341585042,20.581638818923174,0.8179613878835136,0.2781613441349654,1999.8209047824423,2.4041525237863395,0.00040045567153869604,12,88.12225484670225,20949,Simulation_NEA8FHUE
74,0.002808125937757564,0.5264738043318641,0.412054638109675,0.00277550031970526,1993.5351625560131,3.0745916764229126,0.6679881238078388,1.0,5.7608450800421895,1.7686125904810857,0.8087310724101471,1.6526345135765785,1.117251506149059,1.3023041530778998,1.1741175463757028,1.159587599394101,2.7301506003639493,1.744463456766394,3.228363762124928,0.09549979909409152,1999.9783762949287,1.1614130464274544,0.0009221641653529625,0.08332709211761102,0.37954716090103746,0.4692749034687085,0.41707113064018997,0.25,0.7435152601263468,0.3584324674422851,0.7745222202191665,0.7764861210812497,1989.8258879066473,0.15131796636650477,14.0,0.09383058746199022,20.800827611180438,0.82,0.266756482129942,1998.9893384569204,1.9833401870220044,0.0004071100166503949,12,88.12205991255645,4697,Simulation_ACS52C6L
75,0.0026412324558532864,0.5909507207386111,0.44493269404374886,0.002554626753429683,1993.3907384344402,3.16063789413272,0.8078524408450488,1.0,4.855954360874209,1.8818104407565017,1.0011578722636985,1.8514128106534986,1.0734009834844032,1.1926269580563715,1.1017404998515288,1.3508260797334817,2.898702901249117,1.7244153488970881,3.1487653508453266,0.07433627108251811,2002.0251606844677,1.0,0.000955313939366515,0.016631476056830345,0.2795957907740479,0.5439949384254921,0.5430393838090678,0.25,0.7955573676944994,0.3410868761177032,0.8,0.6693425222975048,1989.3732907692113,0.11473189085071317,14.149660602902575,0.0916739511029855,19.927681239076232,0.7994842830723243,0.35687229859016484,2000.0,2.0034087155811147,0.00033552972528074556,15,88.12054599285544,29474,Simulation_HY8TE9UX
76,0.0028364397830536164,0.5120670451213758,0.41732600181821944,0.002400611987020552,1992.396795766678,3.155849741392042,0.7607240037778299,1.1011154426058225,5.58905437507366,1.8772926609443865,0.9368849506583498,1.7514860269924333,1.1220725788086192,1.0917325047298703,1.207268421382014,1.110931087726837,2.927111979058354,1.5830951687325885,2.8980260457406537,0.0929458795363793,1998.2167452836152,1.0,0.0008865465949561751,0.10869109459515723,0.3695873176292176,0.4681630675525747,0.47947291113254265,0.23865309910488838,0.835972435650163,0.42528298637633294,0.7413864747344762,0.7626060529155791,1990.0,0.17985303695983423,14.0,0.11901337545452177,21.0,0.7955591795015247,0.3203905955638099,1999.7420066238403,2.290227836832672,0.00030433870554567714,11,88.11993476390928,5505,Simulation_RCHBUNYC
77,0.002747907835619597,0.5798933634703594,0.38898520537645775,0.0026635999758840693,1993.3749756282505,3.086367866151117,0.6806164157624489,1.097882036689523,5.539201636415342,1.7260735141727561,0.860274769540507,1.723317309436205,1.011714861488329,1.3426220396898478,1.050814541206933,1.1347464082017145,2.707595712856265,1.6428638537939402,3.1558999996596913,0.11065728133263825,2000.3972123910057,1.0254483885214538,0.0009372971570355182,0.048101504817116975,0.34801467967748223,0.5190667022567135,0.47854424650514105,0.2448127064893569,0.692009085783394,0.31707701189266563,0.7541917823379458,0.7198675152222603,1990.0,0.137859146728968,14.187514248664794,0.0851218265730023,20.61848197646234,0.7986929244569253,0.25424384557785445,2000.0,2.032741131685783,0.00033293255590143304,12,88.118610692957,21588,Simulation_6RTZNFGA
78,0.002651558106215241,0.5646840406100969,0.44523472412003645,0.002985368273233266,1993.0147670026254,3.2881627164231086,0.8710431144071611,1.4086721032677794,5.083545110717706,1.9151399979202597,0.9781775010914846,1.838447423095135,1.1686235261736444,1.1579942762894955,1.115227267012575,1.2852087539618158,2.862225860344535,1.8260676679742374,3.0317049931542255,0.061052120586923525,2000.6442917425115,1.0796361986042422,0.0009628641905835671,0.051348288983335016,0.30604860036455434,0.46891187074339774,0.5438736146888475,0.23804805524730963,0.7881855401233288,0.3702706273422421,0.7283057319849658,0.6482325170867141,1989.9759153443977,0.10189369253614014,14.0,0.07102234493748176,19.892588524446786,0.82,0.3321017249713376,1999.1385684871066,2.2394556682978006,0.00029235009760701636,15,88.11820168944273,17550,Simulation_1M40J89K
79,0.002886071794407387,0.546145835757623,0.4410226498217238,0.002472385955120623,1992.5944074771576,3.2857157107724846,0.6847985531768281,1.485642105907136,4.996162522126682,1.8706097880455428,0.9094179727110454,1.8106937174113424,1.0602673654781711,1.0903364334179508,1.0632554866765682,1.290796625523817,2.9692693567532626,1.84214977635736,3.2749166938791943,0.0680263749323791,2001.6203854799912,1.133772575574686,0.0008948289584905498,0.03931439878276511,0.3916000570891924,0.487018947005097,0.37290432943888757,0.22469684870639767,0.76290057088216,0.3710495280980834,0.7987356190089617,0.6896263277879559,1990.0,0.15459394349759312,14.19827022169134,0.07609062533950588,20.387682465897203,0.82,0.3575262925845465,1999.536062462619,1.8773087098427077,0.00024447696315712934,14,88.11601109081636,61007,Simulation_IXZOIP1I
80,0.0026813728924588837,0.5180206445666065,0.43626216735127754,0.0026231941212426658,1992.6733711758166,3.0893506405500735,0.7827895964535149,1.502343012269972,5.415739240953522,1.9704451304872013,0.9,1.608405679934949,0.9909393708469902,1.1305025493126142,1.092346432130173,1.244336921177692,3.0,1.6328828746641333,2.9501680397378482,0.1,1998.9727700007409,1.0,0.0008287802878910707,0.09788456492519326,0.37048680938858825,0.44480144568298424,0.5,0.2202832655593011,0.7686493104908912,0.3626813128089728,0.7052522026971187,0.7439712314241095,1989.4370100550211,0.1648492508242616,14.0,0.11186576463826511,20.695777606234095,0.756740597506145,0.29563380957444163,1999.6783799142127,2.057250043213653,0.00024690872336550476,8,88.11492625374608,40621,Simulation_7W46TUI6
